Timestamp,age,constumption method,listening regularity,song amount month,song consistency,new discovery freq,discovery methods,similar music taste,connect with others,listen together method,listen together freq,share freq,share method,streaming platform,social features use,extra
2242025 19:02:56,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Rather no than yes,"Rarely; maybe a handful times a month","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",Yes,Yes,"At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Often; a couple of times a month","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","VK Music|Telegram",I would use these features often,Karaoke
2242025 19:24:06,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Vinyl; CD discs and other physical media|Downloaded files",Once or twice a week at most,10-50,Mostly,"Very rarely; once a couple of months","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc",Yes,Yes,"Concerts; clubs; street performances","Rarely; every one or two months","Often; a couple of times a month","Offline; in a car; at someone's place etc",VK Music,I wouldn't use these features,No ideas
2242025 19:42:21,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,1000+,Mostly,"Rarely; maybe a handful times a month","At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",No,"No; I already have enough people around me with whom I can share the music I like",At parties; when I'm visiting someone; in a car,"Rarely; every one or two months","Very often; every week or so","Online; sending links from streaming platforms via messengers","Yandex Music|SoundCloud",I would use these features often,
2242025 19:43:12,0-18 years old,Downloaded files,Everyday,"1000+|500-1000",Mostly,"Often; a couple of times a week","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"Concerts; clubs; street performances","Very rarely; maybe a couple times a year","Very rarely; maybe a couple times a year","Online; sending links from streaming platforms via messengers","Yandex Music|VK Music",I would use these features often,"В некоторых из стриминговых платформ; которые я использую;ƒ отсутствует распределение песен по алфавиту Это очень удобно; хотелось бы видеть это везде Также добавить обсуждение к трекам/исполнителям хорошая идея!"
2242025 19:49:01,30-60 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Rather no than yes,"Pretty often; every week or so","Games; movies; other forms of digital content|Recommendations on streaming platforms",No,"No; I do not feel the need in that","At parties; when I'm visiting someone; in a car|Concerts; clubs; street performances","Often; a couple of times a month","Rarely; every one or two months","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Yandex Music,I wouldn't use these features,-
2242025 19:58:05,30-60 years old,"Vinyl; CD discs and other physical media|Downloaded files|телеграм",Everyday,500-1000,Rather no than yes,"Often; a couple of times a week","From people I know|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Buying new physical releases(vinyl; cds )",No,Yes,"At parties; when I'm visiting someone; in a car|At work","Very often; every week or so","Very often; every week or so","Offline; in a car; at someone's place etc|Via sharing the physical media(eg giving a vinyl to a friend for a listen)",,,
2242025 20:06:00,0-18 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,10-50,Rather no than yes,"Rarely; maybe a handful times a month","Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,Yes,At parties; when I'm visiting someone; in a car,"Very rarely; maybe a couple times a year","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Yandex Music,I would use these features often,
2242025 21:31:03,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,500-1000,Mostly,"Pretty often; every week or so","Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",Yes,"No; I do not feel the need in that",At parties; when I'm visiting someone; in a car,"Very often; every week or so","Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc",Spotify,I would use these features rarely,high quality covers
2242025 21:31:34,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others|Downloaded files",Everyday,1000+,Rather no than yes,Every or almost every day,"At random - in cafes; shops and other venues|From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Specialized online platforms - Rate Your Music; Pitchfork; Wire; etc|Games; movies; other forms of digital content|Recommendations on streaming platforms",No,Yes,"At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments|Concerts; clubs; street performances|At work",Almost every day,"Very often; every week or so","Online; sending links from streaming platforms via messengers|Offline; in a car; at someone's place etc","Spotify|SoundCloud",I would use these features often,
2242025 21:32:34,18-30 years old,"Streaming platforms - Spotify; Apple Music; Yandex Music and others",Everyday,100-500,Mostly,"Pretty often; every week or so","From people I know|Non-specialized online platforms - Instagram; TikTok; Youtube(videos); etc|Recommendations on streaming platforms",Yes,"No; I already have enough people around me with whom I can share the music I like","At parties; when I'm visiting someone; in a car|Online via Spotify Jam|Discord bots and other similar instruments","Often; a couple of times a month","Often; a couple of times a month","Offline; in a car; at someone's place etc","Spotify|VK Music",I would use these features rarely,
